family,label,site,flow_ml_min,parameter,parameter_value,baseline_icp_mmhg,outcome_icp_mmhg,delta_icp_mmhg,converged,duration_s,icp_std_mmhg,icp_drift_mmhg_min,max_pressure_drift_mmhg_min,max_pressure_residual_mmhg_min,branches_seen,minimum_Pv_minus_Pic_mmhg
reference_site_comparator,reference_pv_240,Pv,240.0,reference_state,,9.4311262331592,8.880419676300683,0.5507065568585165,True,5400.0,2.211503300140004e-05,3.7980535551810485e-05,3.7980535551810485e-05,3.4982121126580064e-05,0,3.1108445973110737
reference_site_comparator,reference_pvs_240,Pvs,240.0,reference_state,,9.4311262331592,9.204353888361439,0.22677234479776054,True,4800.0,1.3968623314917144e-05,-2.3989372502138266e-05,2.3989372502138266e-05,2.202026834775227e-05,0,4.573001508220999
reference_site_comparator,reference_j3_240,J3,240.0,reference_state,,9.4311262331592,9.24287925054142,0.1882469826177786,True,4800.0,1.1358968264217157e-05,-1.9507572551807538e-05,1.9507572551807538e-05,1.789952163247439e-05,0,4.573001508220999
reference_site_comparator,reference_j2_240,J2,240.0,reference_state,,9.4311262331592,9.277091558682715,0.15403467447648467,True,4200.0,2.1521177655086445e-05,-3.695979338488044e-05,3.695979338488044e-05,3.3901556884486725e-05,0,4.573001508220999
baseline,tbi_baseline,none,0.0,nominal,,22.69811640834893,22.69811640834893,0.0,True,9000.0,2.8670136744888414e-05,4.924256377836718e-05,4.924256377836718e-05,4.616588883308116e-05,0,4.6
control,control,none,0.0,nominal,,22.69811640834893,22.698657334893042,-0.0005409265441116418,True,1200.0,8.48791502139235e-06,1.4578468727140084e-05,1.4578468727140084e-05,1.3667563660503624e-05,0,12.078956058271807
dose_response,dose_pv_60,Pv,60.0,nominal,,22.69811640834893,21.938346741253817,0.7597696670951137,True,6000.0,1.8512867004503535e-05,3.179722514786569e-05,3.179722514786569e-05,2.988656592829643e-05,0,11.086912339050727
dose_response,dose_pv_120,Pv,120.0,nominal,,22.69811640834893,21.17330683397534,1.5248095743735917,True,6600.0,2.5458677622180558e-05,4.372762200667637e-05,4.372762200667637e-05,4.120519886319121e-05,0,10.09154658259725
dose_response,dose_pv_180,Pv,180.0,nominal,,22.69811640834893,20.403784520222,2.29433188812693,True,7200.0,2.7810764150535403e-05,4.7768020877002046e-05,4.7768020877002046e-05,4.512805628768267e-05,0,9.092986694579267
dose_response,dose_pv_240,Pv,240.0,nominal,,22.69811640834893,19.629882901225525,3.0682335071234057,True,7800.0,2.8617982830192076e-05,4.91549761335547e-05,4.91549761335547e-05,4.655826572541865e-05,0,8.091372428995648
