family,label,site,flow_ml_min,parameter,parameter_value,baseline_icp_mmhg,outcome_icp_mmhg,delta_icp_mmhg,converged,duration_s,icp_std_mmhg,icp_drift_mmhg_min,max_pressure_drift_mmhg_min,max_pressure_residual_mmhg_min,branches_seen,minimum_Pv_minus_Pic_mmhg
reference_site_comparator,reference_pv_240,Pv,240.0,reference_state,,9.4311262331592,8.924147310229259,0.5069789229299406,True,5400.0,2.3122214234442072e-05,3.971018405692327e-05,3.971018405692327e-05,3.655955506020628e-05,0,3.1106168413499216
reference_site_comparator,reference_pvs_240,Pvs,240.0,reference_state,,9.4311262331592,9.24803833717972,0.1830878959794795,True,4800.0,1.1014884612556475e-05,-1.8916647482363315e-05,1.8916647482363315e-05,1.735642097958746e-05,0,4.573001508220999
reference_site_comparator,reference_j3_240,J3,240.0,reference_state,,9.4311262331592,9.286777513918146,0.1443487192410533,True,4200.0,2.0077787438285253e-05,-3.448094161286979e-05,3.448094161286979e-05,3.162478773910044e-05,0,4.573001508220999
reference_site_comparator,reference_j2_240,J2,240.0,reference_state,,9.4311262331592,9.320667443258321,0.11045878990087843,True,4200.0,1.5135392029629875e-05,-2.5992982092440857e-05,2.5992982092440857e-05,2.3831919676949524e-05,0,4.573001508220999
baseline,tbi_baseline,none,0.0,nominal,,22.69811640834893,22.69811640834893,0.0,True,9000.0,2.8670136744888414e-05,4.924256377836718e-05,4.924256377836718e-05,4.616588883308116e-05,0,4.6
control,control,none,0.0,nominal,,22.69811640834893,22.698657334893042,-0.0005409265441116418,True,1200.0,8.48791502139235e-06,1.4578468727140084e-05,1.4578468727140084e-05,1.3667563660503624e-05,0,12.078956058271807
dose_response,dose_pv_60,Pv,60.0,nominal,,22.69811640834893,21.9471267857902,0.7509896225587305,True,6000.0,1.9227374463528972e-05,3.302444192386464e-05,3.302444192386464e-05,3.10393816405469e-05,0,11.085633387976195
dose_response,dose_pv_120,Pv,120.0,nominal,,22.69811640834893,21.19092044915972,1.507195959189211,True,6600.0,2.63966069710785e-05,4.533859441097717e-05,4.533859441097717e-05,4.2721435147277274e-05,0,10.089012005894986
dose_response,dose_pv_180,Pv,180.0,nominal,,22.69811640834893,20.430276391500875,2.267840016848055,True,7200.0,2.8769910080607776e-05,4.941544686798866e-05,4.941544686798866e-05,4.668150302275284e-05,0,9.089219467504808
dose_response,dose_pv_240,Pv,240.0,nominal,,22.69811640834893,19.665292941057224,3.0328234672917063,True,7800.0,2.9522272147383913e-05,5.070819129623612e-05,5.070819129623612e-05,4.802545061064691e-05,0,8.08639468287775
dose_response,dose_pv_300,Pv,300.0,nominal,,22.69811640834893,18.89610006997477,3.802016338374159,True,8400.0,3.01359415754012e-05,5.176271816251804e-05,5.176271816251804e-05,4.915097356295858e-05,0,7.08066510148474
dose_response,dose_pv_360,Pv,360.0,nominal,,22.69811640834893,18.122834117714813,4.575282290634117,True,9000.0,3.141974069829202e-05,5.3968299472404634e-05,5.3968299472404634e-05,5.1379622616684044e-05,0,6.072150511321613
dose_response,dose_pv_480,Pv,480.0,nominal,,22.69811640834893,16.565111350832513,6.133005057516417,True,10800.0,2.5074165445581843e-05,4.3069509032684226e-05,4.3069509032684226e-05,4.122625409593733e-05,0,4.047151706655267
dose_response,dose_pvs_60,Pvs,60.0,nominal,,22.69811640834893,22.640918576161464,0.05719783218746599,True,4200.0,2.7062669002362605e-05,-4.6481675169631484e-05,4.6481675169631484e-05,4.358345659797949e-05,0,12.079036753203226
dose_response,dose_pvs_120,Pvs,120.0,nominal,,22.69811640834893,22.582237878663115,0.11587852968581558,True,4800.0,2.8938541976613064e-05,-4.9703624339365074e-05,4.9703624339365074e-05,4.6611210588456265e-05,0,12.079036777621639
dose_response,dose_pvs_180,Pvs,180.0,nominal,,22.69811640834893,22.523310716715283,0.17480569163364734,True,5400.0,2.3175407391494475e-05,-3.980513101762336e-05,3.980513101762336e-05,3.7333985621929236e-05,0,12.079036802040836
dose_response,dose_pvs_240,Pvs,240.0,nominal,,22.69811640834893,22.46431735126472,0.23379905708420878,True,6000.0,1.6527567251796977e-05,-2.8387090492471184e-05,2.8387090492471184e-05,2.662866418756233e-05,0,12.079036826459422
