rate_ml_min,site,final_icp_mmhg,delta_icp_mmhg
60,Pv,21.947126786,0.750989623
60,Pvs,22.640918576,0.057197832
60,J3,22.671749813,0.026366596
60,J2,22.677470160,0.020646249
120,Pv,21.190920449,1.507195959
120,Pvs,22.582237879,0.115878530
120,J3,22.644012305,0.054104103
120,J2,22.655589469,0.042526940
180,Pv,20.430276392,2.267840017
180,Pvs,22.523310717,0.174805692
180,J3,22.616081283,0.082035125
180,J2,22.633945427,0.064170981
240,Pv,19.665292941,3.032823467
240,Pvs,22.464317351,0.233799057
240,J3,22.588468390,0.109648019
240,J2,22.611783829,0.086332579
300,Pv,18.896100070,3.802016338
300,Pvs,22.405578688,0.292537720
300,J3,22.560412060,0.137704348
300,J2,22.590006707,0.108109701
360,Pv,18.122834118,4.575282291
360,Pvs,22.346799204,0.351317204
360,J3,22.532695699,0.165420709
360,J2,22.567815595,0.130300813
480,Pv,16.565111351,6.133005058
480,Pvs,22.228674097,0.469442311
480,J3,22.477239824,0.220876585
480,J2,22.524113827,0.174002581
