site,rate_ml_min,duration_s,icp_sd_mmhg,max_pressure_drift_mmhg_min,max_pressure_derivative_mmhg_min
Baseline,0,9000,2.867013674489e-05,4.924256377837e-05,4.616588883308e-05
Pv,60,6000,1.922737446353e-05,3.302444192386e-05,3.103938164055e-05
Pv,120,6600,2.639660697108e-05,4.533859441098e-05,4.272143514728e-05
Pv,180,7200,2.876991008061e-05,4.941544686799e-05,4.668150302275e-05
Pv,240,7800,2.952227214738e-05,5.070819129624e-05,4.802545061065e-05
Pv,300,8400,3.013594157540e-05,5.176271816252e-05,4.915097356296e-05
Pv,360,9000,3.141974069829e-05,5.396829947240e-05,5.137962261668e-05
Pv,480,10800,2.507416544558e-05,4.306950903268e-05,4.122625409594e-05
Pvs,60,4200,2.706266900236e-05,4.648167516963e-05,4.358345659798e-05
Pvs,120,4800,2.893854197661e-05,4.970362433937e-05,4.661121058846e-05
Pvs,180,5400,2.317540739149e-05,3.980513101762e-05,3.733398562193e-05
Pvs,240,6000,1.652756725180e-05,2.838709049247e-05,2.662866418756e-05
Pvs,300,6000,2.088031925514e-05,3.586322574543e-05,3.364654831223e-05
Pvs,360,6000,2.531932423344e-05,4.348751501145e-05,4.080549117054e-05
Pvs,480,6600,1.836116656758e-05,3.153648513338e-05,2.960017601216e-05
J3,60,3600,2.388862530349e-05,4.103006115465e-05,3.846886832682e-05
J3,120,4200,2.559727916015e-05,4.396478327133e-05,4.122319573386e-05
J3,180,4800,2.041161658339e-05,3.505812307402e-05,3.287420160801e-05
J3,240,4800,2.736852080064e-05,4.700701889122e-05,4.408171749747e-05
J3,300,5400,1.816600279673e-05,3.120117070715e-05,2.926151576291e-05
J3,360,5400,2.190700053456e-05,3.762656367950e-05,3.528985999788e-05
J3,480,5400,2.947942170773e-05,5.063267231927e-05,4.749471724132e-05
J2,60,3600,1.870460257759e-05,3.212620789150e-05,3.012040237688e-05
J2,120,4200,2.010180588355e-05,3.452599113026e-05,3.237208579440e-05
J2,180,4200,3.038827756310e-05,5.219360105614e-05,4.894006890679e-05
J2,240,4800,2.149257518215e-05,3.691473317504e-05,3.461552148589e-05
J2,300,4800,2.698127537533e-05,4.634190172986e-05,4.345783120745e-05
J2,360,5400,1.717258471909e-05,2.949491487896e-05,2.766083292611e-05
J2,480,5400,2.307255758786e-05,3.962848013932e-05,3.716824268611e-05
